trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	09010b77-2aa6-489b-869e-22244a363a5d	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	1	USER_INPUT	{"accepted": true}	2026-09-01 10:02:42.345264
1	d693ba83-5daa-428d-85bd-beec023e69b1	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	2	CONTEXT_WINDOW	{"tokenBudget": 6144, "policyVersion": "session-context-v1", "includedTokens": 0, "tokenEstimator": "utf8-bytes-v1", "tokenWatermark": "low", "candidateTokens": 0, "includedTurnIds": [], "loadedTurnCount": 0, "olderTurnsAvailable": false, "omittedLoadedTurnCount": 0}	2026-09-01 10:02:48.155380
1	d2633658-92d7-49f3-9e80-6a4113069a1f	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	3	ROUTING_DECISION	{"tier": "standard", "signals": {"chitchat": false, "refundContext": true, "refundContextSource": "current"}, "toolProfile": "all", "attemptLimit": 16, "sessionPropagationEnabled": true}	2026-09-01 10:02:48.156056
1	d1b8a779-8b8d-4cf6-9c24-18382d16c621	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	4	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-09-01 10:02:48.156570
1	f12f2924-dccb-4cf3-9cc6-64d02097244f	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	5	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-09-01 10:02:48.157037
1	4d1c6b8c-9027-44c1-9f9e-2e9188fad243	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	6	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-09-01 10:02:48.157596
1	fa7861c6-ba82-47a2-9201-2a518c7f13d9	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	7	AGENT_OUTCOME	{"outcome": "completed"}	2026-09-01 10:02:48.158271
1	b942b6a1-8d77-491e-883d-f2dc0c4da4c9	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	8	ASSISTANT_RESPONSE	{"outcome": "completed"}	2026-09-01 10:02:48.158730
1	40e23b8c-a585-4c72-9064-d76dc6d2753f	cebad38e-b925-4e69-8a1a-fa7612a7311f	7aa9e98e-e28a-44fb-885b-3d5e9a3c5c14	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	9	TURN_COMPLETED	{"outcome": "completed"}	2026-09-01 10:02:48.159118
2	cb2862a0-5ec6-4e2c-9174-61d20d543821	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	1	USER_INPUT	{"accepted": true}	2026-09-01 10:02:48.191562
2	863d391a-73cf-42e4-9e99-3b7cc942c920	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	2	CONTEXT_WINDOW	{"tokenBudget": 6144, "policyVersion": "session-context-v1", "includedTokens": 339, "tokenEstimator": "utf8-bytes-v1", "tokenWatermark": "low", "candidateTokens": 339, "includedTurnIds": ["cebad38e-b925-4e69-8a1a-fa7612a7311f"], "loadedTurnCount": 1, "olderTurnsAvailable": false, "omittedLoadedTurnCount": 0}	2026-09-01 10:02:51.568749
2	53d41c70-b37a-4482-b016-aa62e1b9c81e	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	3	ROUTING_DECISION	{"tier": "standard", "signals": {"chitchat": false, "refundContext": true, "refundContextSource": "session"}, "toolProfile": "all", "attemptLimit": 16, "sessionPropagationEnabled": true}	2026-09-01 10:02:51.569384
2	5f270baa-e611-42ff-b4ca-b8c2147a1f86	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	4	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-09-01 10:02:51.570169
2	fe9ebba7-008f-499c-bd95-9a74241bf901	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	5	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-09-01 10:02:51.571240
2	f83501ad-99a1-49e2-8d5e-c2f254b62214	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	6	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-09-01 10:02:51.572081
2	b24571cb-12b6-4bf5-a423-6a6993187832	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	7	AGENT_OUTCOME	{"outcome": "completed"}	2026-09-01 10:02:51.572694
2	adae3a12-852d-4a73-a4d4-c53b852ff717	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	8	ASSISTANT_RESPONSE	{"outcome": "completed"}	2026-09-01 10:02:51.573235
2	4b7acae9-1efc-480d-ab0f-de5148abd5b8	99a8d109-f927-4cf4-8dbd-ef4cd3cbc435	7526613d-b7f8-465e-ae30-16c5ada22285	KzwZk71f1E3SiqEUPDvXQsCPusjp7F7ae_cH5g2InOE	eval-a958480d-4382-46fb-989f-05ca6b7e959d	9	TURN_COMPLETED	{"outcome": "completed"}	2026-09-01 10:02:51.573686
